Datetime,Open,High,Low,Close,Adj Close,Volume
2023-08-23 09:30:00,4396.43994140625,4404.10009765625,4396.43994140625,4402.1298828125,4402.1298828125,62032424
2023-08-23 09:45:00,4403.18994140625,4412.85986328125,4402.93017578125,4410.35986328125,4410.35986328125,87158512
2023-08-23 10:00:00,4410.58984375,4417.7001953125,4409.419921875,4417.33984375,4417.33984375,82112012
2023-08-23 10:15:00,4417.47998046875,4418.14990234375,4412.0400390625,4415.66015625,4415.66015625,74053183
2023-08-23 10:30:00,4415.7099609375,4421.10009765625,4413.5400390625,4420.16015625,4420.16015625,68357383
2023-08-23 10:45:00,4420.31982421875,4426.52001953125,4419.919921875,4426.169921875,4426.169921875,63323422
2023-08-23 11:00:00,4426.22021484375,4427.5498046875,4422.4599609375,4426.2001953125,4426.2001953125,59572654
2023-08-23 11:15:00,4426.39013671875,4429.72021484375,4424.97021484375,4428.5,4428.5,50710889
2023-08-23 11:30:00,4428.52001953125,4429.77001953125,4423.60009765625,4423.93994140625,4423.93994140625,61197070
2023-08-23 11:45:00,4423.81005859375,4430.52001953125,4423.52978515625,4429.93994140625,4429.93994140625,51796091
2023-08-23 12:00:00,4429.91015625,4430.06982421875,4426.2099609375,4428.58984375,4428.58984375,42112732
2023-08-23 12:15:00,4428.58984375,4428.89990234375,4426.27978515625,4427.6201171875,4427.6201171875,45611748
2023-08-23 12:30:00,4427.60986328125,4431.330078125,4426.759765625,4431.08984375,4431.08984375,37633421
2023-08-23 12:45:00,4431.16015625,4433.0400390625,4428.490234375,4428.740234375,4428.740234375,40717684
2023-08-23 13:00:00,4428.759765625,4433.56982421875,4428.43994140625,4432.990234375,4432.990234375,37633187
2023-08-23 13:15:00,4433.009765625,4439.759765625,4433.009765625,4439.169921875,4439.169921875,41778284
2023-08-23 13:30:00,4439.16015625,4442.4501953125,4439.08984375,4440.72021484375,4440.72021484375,45839902
2023-08-23 13:45:00,4440.740234375,4443.18017578125,4440.22998046875,4442.33984375,4442.33984375,37694000
2023-08-23 14:00:00,4442.39013671875,4442.39013671875,4437.60009765625,4438.06982421875,4438.06982421875,42466000
2023-08-23 14:15:00,4438.0498046875,4438.16015625,4433.77001953125,4436.22998046875,4436.22998046875,44270000
2023-08-23 14:30:00,4436.22021484375,4436.60009765625,4431.31005859375,4432.2900390625,4432.2900390625,44550000
2023-08-23 14:45:00,4432.259765625,4435.14013671875,4431.7001953125,4433.740234375,4433.740234375,40598000
2023-08-23 15:00:00,4433.68017578125,4438.08984375,4430.9501953125,4436.2900390625,4436.2900390625,50134000
2023-08-23 15:15:00,4436.2998046875,4438.64990234375,4435.009765625,4438.60986328125,4438.60986328125,58167000
2023-08-23 15:30:00,4438.64013671875,4440.77001953125,4436.41015625,4439.56005859375,4439.56005859375,77536000
2023-08-23 15:45:00,4439.52001953125,4440.0498046875,4431.330078125,4436.5400390625,4436.5400390625,212121000
